POSITION HOLDER,NAME OF THE ISSUER,ISIN,NET SHORT POSITION,"DATE POSITION WAS CREATED, CHANGED OR CANCELLED"
BlackRock Investment Management (UK) Limited,Darty plc,GB0033040113,1.86%,2012-11-01
BlackRock Investment Management (UK) Limited,Darty plc,GB0033040113,1.90%,2012-11-08
BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.85%,2012-11-21
BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.79%,2012-11-26
BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.63%,2012-11-29
BlackRock Investment Management (UK) Limited,Darty plc,GB0033040113,1.51%,2012-11-30
BlackRock Investment Management (UK) Limited,Darty plc,GB0033040113,1.47%,2012-12-03
BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.39%,2012-12-05
BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.28%,2012-12-14
BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.19%,2013-01-29
Henderson Alternative Investment Limited,Devro Plc,GB0002670437,0.51%,2012-12-20
Henderson Alternative Investment Limited,Devro Plc,GB0002670437,0.62%,2013-01-23
Henderson Alternative Investment Limited,Devro Plc,GB0002670437,0.30%,2013-01-30
DNB Asset Management AS,Dialight PLC,GB0033057794,0.92%,2012-11-01
DNB Asset Management AS,Dialight PLC,GB0033057794,0.88%,2012-12-07
DNB Asset Management AS,Dialight PLC,GB0033057794,0.79%,2012-12-11
Henderson Alternative Investment Limited,Dialight plc,GB0033057794,0.31%,2012-11-08
Henderson Global Investors,Dialight plc,GB0033057794,0.54%,2012-11-01
BlackRock Investment Management (UK) Limited,Dignity plc,GB00B4JZFN18,1.00%,2012-11-01
BlackRock Investment Management (UK) Limited,Dignity plc,GB00B4JZFN18,0.70%,2013-01-22
BlackRock Investment Management (UK) Limited,Dignity plc,GB00B4JZFN18,0.58%,2013-01-25
ODEY ASSET MANAGEMENT LLP,DIGNITY PLC,GB00B4JZFN18,1.44%,2012-11-01
Fest N.V.,Dixons Retail Plc,GB0000472455,3.11%,2012-11-01
Fest N.V.,Dixons Retail Plc,GB0000472455,3.27%,2013-01-10
Fest N.V.,Dixons Retail Plc,GB0000472455,3.36%,2013-01-11
Fest N.V.,Dixons Retail Plc,GB0000472455,3.42%,2013-01-14
Lone Pine Capital LLC,DIXONS RETAIL PLC,GB0000472455,0.54%,2013-01-22
Lone Pine Capital LLC,DIXONS RETAIL PLC,GB0000472455,0.69%,2013-01-24
Lone Pine Capital LLC,DIXONS RETAIL PLC,GB0000472455,0.75%,2013-01-25
"Marble Arch Investments, LP",Dixons Retail plc,GB0000472455,2.05%,2012-11-01
"Marble Arch Investments, LP",Dixons Retail plc,GB0000472455,1.95%,2012-11-07
"Marble Arch Investments, LP",Dixons Retail plc,GB0000472455,1.86%,2012-11-08
"Marble Arch Investments, LP",Dixons Retail plc,GB0000472455,1.79%,2012-11-09
"Marble Arch Investments, LP",Dixons Retail plc,GB0000472455,1.67%,2012-11-14
Saemor Capital B.V.,DIXONS RETAIL PLC,GB0000472455,0.60%,2012-11-01
Saemor Capital B.V.,Dixons Retail plc,GB0000472455,0.43%,2012-11-02
"Sheffield Asset Management, L.L.C.",Dixons Retail plc,GB0000472455,0.87%,2012-11-01
"Sheffield Asset Management, L.L.C.",Dixons Retail plc,GB0000472455,0.71%,2012-11-06
"Sheffield Asset Management, L.L.C.",Dixons Retail plc,GB0000472455,0.56%,2012-11-07
"Sheffield Asset Management, L.L.C.",DIXONS RETAIL PLC,GB0000472455,0.49%,2012-11-13
Southpoint Capital Advisors,DIXONS RETAIL PLC,GB0000472455,0.69%,2012-11-01
Southpoint Capital Advisors,DIXONS RETAIL PLC,GB0000472455,0.83%,2012-12-05
Southpoint Capital Advisors,DIXONS RETAIL PLC,GB0000472455,0.90%,2012-12-06
Southpoint Capital Advisors,DIXONS RETAIL PLC,GB0000472455,1.07%,2012-12-27
Southpoint Capital Advisors,DIXONS RETAIL PLC,GB0000472455,1.11%,2012-12-28
"FVP Master Fund, L.P.",Dixons Retail PLC ,GB0000472455,0.63%,2012-11-01
"FVP Master Fund, L.P.",Dixons Retail PLC ,GB0000472455,0.35%,2012-12-20
Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.55%,2012-11-15
Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.48%,2012-11-21
Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.52%,2012-12-07
Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.49%,2012-12-12
Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.53%,2012-12-17
Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.49%,2012-12-18
Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.51%,2012-12-20
Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.62%,2013-02-01
Henderson Global Investors,Domino Printing Sciences plc,GB0002748050 ,0.51%,2012-11-01
Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.86%,2012-11-13
Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.92%,2012-12-04
Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.83%,2012-12-07
Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.75%,2012-12-10
Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.67%,2012-12-20
Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.75%,2013-01-03
Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.66%,2013-01-07
Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.74%,2013-01-16
Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.26%,2013-02-06
Henderson Global Investors,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.67%,2012-11-01
Concordia Value Strategies Ltd,Edinburgh Investment Trust Plc,GB0003052338,0.52%,2012-11-13
Concordia Value Strategies Ltd,Edinburgh Investment Trust Plc,GB0003052338,0.49%,2013-02-07
"BlackRock Institutional Trust Company, National Association",Electrocomponents plc,GB0003096442,0.56%,2012-11-01
"BlackRock Institutional Trust Company, National Association",Electrocomponents plc,GB0003096442,0.65%,2012-11-05
"BlackRock Institutional Trust Company, National Association",Electrocomponents plc,GB0003096442,0.72%,2012-11-07
"BlackRock Institutional Trust Company, National Association",ELECTROCOMPONENTS PLC,GB0003096442,0.69%,2012-11-22
"BlackRock Institutional Trust Company, National Association",ELECTROCOMPONENTS PLC,GB0003096442,0.72%,2012-12-10
"BlackRock Institutional Trust Company, National Association",ELECTROCOMPONENTS PLC,GB0003096442,0.69%,2012-12-19
"BlackRock Institutional Trust Company, National Association",Electrocomponents plc,GB0003096442,0.57%,2013-01-22
"BlackRock Institutional Trust Company, National Association",ELECTROCOMPONENTS PLC,GB0003096442,0.49%,2013-01-29
"BlackRock Institutional Trust Company, National Association",ELECTROCOMPONENTS PLC,GB0003096442,0.50%,2013-02-08
BlackRock Investment Management (UK) Limited,Electrocomponents plc,GB0003096442,0.66%,2012-11-01
BlackRock Investment Management (UK) Limited,ELECTROCOMPONENTS PLC,GB0003096442,0.80%,2012-11-22
BlackRock Investment Management (UK) Limited,ELECTROCOMPONENTS PLC,GB0003096442,0.78%,2012-11-23
BlackRock Investment Management (UK) Limited,ELECTROCOMPONENTS PLC,GB0003096442,0.67%,2012-12-06
BlackRock Investment Management (UK) Limited,Electrocomponents plc,GB0003096442,0.54%,2013-01-25
BlackRock Investment Management (UK) Limited,Electrocomponents plc,GB0003096442,0.48%,2013-01-28
Insight Investment Management (Global) Ltd,Electrocomponents PLC,GB0003096442,0.94%,2012-11-01
Insight Investment Management (Global) Ltd,Electrocomponents PLC,GB0003096442,1.06%,2012-12-07
Insight Investment Management (Global) Ltd,Electrocomponents PLC,GB0003096442,1.10%,2012-12-14
Insight Investment Management (Global) Ltd,Electrocomponents PLC,GB0003096442,1.09%,2013-01-25
Insight Investment Management (Global) Ltd,Electrocomponents PLC,GB0003096442,0.99%,2013-01-29
S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,1.11%,2012-11-01
S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,1.21%,2012-11-06
S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,1.14%,2012-11-08
S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,1.09%,2012-12-04
S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,0.93%,2012-12-05
S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,0.79%,2013-01-31
S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,0.81%,2013-02-01
GLG Partners LP,Enquest Plc,GB00B635TG28,1.04%,2012-11-01
GLG Partners LP,Enquest Plc,GB00B635TG28,0.99%,2013-01-25
GLG Partners LP,Enquest Plc,GB00B635TG28,0.87%,2013-02-07
Oslo Asset Management ASA,Enquest plc,GB00B635TG28,1.59%,2012-11-02
Numeric Investors LLC,Falkland Oil & Gas,FK00B030JM18,0.50%,2013-01-02
"Brookdale International Partners, L.P. and Brookdale Global Opportunity Fund",Fastnet Oil & Gas Plc,GB00B85HRF56,0.77%,2012-11-23
"Brookdale International Partners, L.P. and Brookdale Global Opportunity Fund",Fastnet Oil & Gas Plc,GB00B85HRF56,0.94%,2012-11-28
"Brookdale International Partners, L.P. and Brookdale Global Opportunity Fund",Fastnet Oil & Gas Plc,GB00B85HRF56,0.00%,2012-12-12
FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,0.87%,2012-11-01
FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,0.92%,2012-11-15
FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.03%,2012-12-27
FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.12%,2013-01-15
FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.29%,2013-01-24
FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.39%,2013-01-25
FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.40%,2013-01-28
FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.50%,2013-02-01
FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.77%,2013-02-08
FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.81%,2013-02-11
Henderson Global Investors,Fenner plc,GB0003345054,0.51%,2013-01-03
Henderson Global Investors,Fenner plc,GB0003345054,0.61%,2013-01-23
Henderson Global Investors,Fenner plc,GB0003345054,0.51%,2013-01-30
Henderson Global Investors,Fenner plc,GB0003345054,0.48%,2013-01-30
Marshall Wace LLP,Fenner PLC,GB0003345054,0.71%,2012-11-01
Marshall Wace LLP,Fenner PLC,GB0003345054,0.69%,2012-11-06
Marshall Wace LLP,Fenner PLC,GB0003345054,0.70%,2012-11-08
UBS O'Connor Limited,Fenner plc,GB0003345054,1.22%,2012-11-01
UBS O'Connor Limited,Fenner plc,GB0003345054,1.13%,2012-11-06
UBS O'Connor Limited,FENNER PLC,GB0003345054,1.23%,2012-11-07
UBS O'Connor Limited,FENNER PLC,GB0003345054,1.12%,2012-11-13
UBS O'Connor Limited,FENNER PLC,GB0003345054,0.98%,2012-11-14
UBS O'Connor Limited,FENNER PLC,GB0003345054,0.71%,2012-12-05
UBS O'Connor Limited,FENNER PLC,GB0003345054,0.55%,2013-01-02
UBS O'Connor Limited,FENNER PLC,GB0003345054,0.72%,2013-01-04
UBS O'Connor Limited,FENNER PLC,GB0003345054,0.68%,2013-01-14
UBS O'Connor Limited,FENNER PLC,GB0003345054,0.55%,2013-01-22
UBS O'Connor Limited,Fenner plc,GB0003345054,0.48%,2013-01-29
UBS O'Connor Limited,FENNER PLC,GB0003345054,0.80%, 2012-11-15
UBS O'Connor Limited,FENNER PLC,GB0003345054,0.67%, 2012-11-16
"Wellington Management Company, LLP",Fenner PLC,GB0003345054,0.58%,2012-11-01
"Wellington Management Company, LLP",Fenner PLC,GB0003345054,0.58%,2012-11-01
"Wellington Management Company, LLP",Fenner PLC,GB0003345054,0.44%,2013-01-03
"Wellington Management Company, LLP",Fenner PLC,GB0003345054,0.50%,2013-01-09
Henderson Alternative Investment Limited,Fiberweb plc,GB00B1FMH067 ,1.00%,2012-11-09
Henderson Alternative Investment Limited,Fiberweb plc,GB00B1FMH067,1.10%,2012-11-22
Henderson Alternative Investment Limited,Fiberweb plc,GB00B1FMH067,0.95%,2013-01-23
Henderson Alternative Investment Limited,Fiberweb plc,GB00B1FMH067,0.85%,2013-02-07
Henderson Alternative Investment Limited,Fiberweb plc,GB00B1FMH067,0.05%,2013-02-15
Henderson Global Investors,Fiberweb plc,GB00B1FMH067 ,1.65%,2012-11-01
Henderson Alternative Investment Limited,Fidessa Group plc,GB0007590234,0.52%,2013-02-13
JPMorgan Asset Management (UK) Ltd,FIDESSA GROUP PLC,GB0007590234,0.60%,2012-11-01
JPMorgan Asset Management (UK) Ltd,FIDESSA GROUP PLC,GB0007590234,0.58%,2012-11-29
JPMorgan Asset Management (UK) Ltd,FIDESSA GROUP PLC,GB0007590234,0.31%,2013-02-14
ELLIOTT MANAGEMENT CORPORATION,FIRSTGROUP PLC,GB0003452173,1.65%,2012-11-01
ELLIOTT MANAGEMENT CORPORATION,FIRSTGROUP PLC,GB0003452173,1.75%,2012-12-24
ELLIOTT MANAGEMENT CORPORATION,Firstgroup PLC,GB0003452173,1.83%,2012-12-27
ELLIOTT MANAGEMENT CORPORATION,Firstgroup PLC,GB0003452173,1.91%,2012-12-31
ELLIOTT MANAGEMENT CORPORATION,Firstgroup PLC,GB0003452173,2.10%,2013-01-03
ELLIOTT MANAGEMENT CORPORATION,Firstgroup PLC,GB0003452173,2.20%,2013-01-04
ELLIOTT MANAGEMENT CORPORATION,Firstgroup PLC,GB0003452173,2.32%,2013-01-08
JPMorgan Asset Management (UK) Ltd,FIRSTGROUP PLC,GB0003452173,0.55%,2012-11-01
JPMorgan Asset Management (UK) Ltd,FIRSTGROUP PLC,GB0003452173,0.59%,2012-11-14
JPMorgan Asset Management (UK) Ltd,FIRSTGROUP PLC,GB0003452173,0.40%,2013-01-24
"YA Global Master SPV, Ltd",Frontera Resources Corporation,KYG368131069,0.59%,2012-11-05
"YA Global Master SPV, Ltd",Frontera Resources Corporation,KYG368131069,0.73%,2012-11-06
"YA Global Master SPV, Ltd",Frontera Resources Corporation,KYG368131069,0.88%,2012-11-07
"YA Global Master SPV, Ltd",Frontera Resources Corporation,KYG368131069,1.06%,2012-11-08
"YA Global Master SPV, Ltd",Frontera Resources Corporation,KYG368131069,1.35%,2012-11-09
"YA Global Master SPV, Ltd",Frontera Resources Corporation,KYG368131069,1.46%,2012-11-12
"YA Global Master SPV, Ltd",Frontera Resources Corporation,KYG368131069,0.00%,2012-11-21
Cazenove Capital Management Limited,GENUS plc,GB0002074580,0.53%,2013-01-07
Polar Capital LLP,Genus PLC ,GB0002074580,0.83%,2012-11-01
"Davidson Kempner European Partners, LLP",Glencore International Plc,JE00B4T3BW64,0.63%,2012-11-01
"Davidson Kempner European Partners, LLP",Glencore International Plc,JE00B4T3BW64,0.58%,2012-11-02
"Davidson Kempner European Partners, LLP",Glencore International Plc,JE00B4T3BW64,0.50%,2012-11-06
"Davidson Kempner European Partners, LLP",Glencore International Plc,JE00B4T3BW64,0.54%,2012-11-13
"Davidson Kempner European Partners, LLP",Glencore International Plc,JE00B4T3BW64,0.65%,2012-11-15
"Davidson Kempner European Partners, LLP",Glencore International Plc,JE00B4T3BW64,0.73%,2012-11-19
"Davidson Kempner European Partners, LLP",Glencore International Plc,JE00B4T3BW64,0.86%,2012-11-20
"Davidson Kempner European Partners, LLP",Glencore International Plc,JE00B4T3BW64,0.91%,2012-11-26
"Davidson Kempner European Partners, LLP",Glencore International Plc,JE00B4T3BW64,1.02%,2012-11-28
"Davidson Kempner European Partners, LLP",Glencore International Plc,JE00B4T3BW64,1.10%,2012-11-30
ELLIOTT MANAGEMENT CORPORATION,GLENCORE INTERNATIONAL PLC,JE00B4T3BW64,0.71%,2012-11-01
HBK Investments L.P.,Glencore International Plc,JE00B4T3BW64,0.53%,2012-11-27
HBK Investments L.P.,Glencore International Plc,JE00B4T3BW64,0.61%,2012-12-03
Noonday Asset Management LLP,GLENCORE INTERNATIONAL PLC,JE00B4T3BW64,0.53%,2012-11-20
Noonday Asset Management LLP,Glencore International PLC,JE00B4T3BW64,0.48%,2012-12-07
Och-Ziff Management Europe Ltd.,Glencore International plc,JE00B4T3BW64,0.82%,2012-11-01
Och-Ziff Management Europe Ltd.,Glencore International plc,JE00B4T3BW64,0.92%,2012-11-08
Och-Ziff Management Europe Ltd.,Glencore International plc,JE00B4T3BW64,0.89%,2012-11-26
Och-Ziff Management Europe Ltd.,Glencore International plc,JE00B4T3BW64,0.79%,2012-12-03
Och-Ziff Management Europe Ltd.,Glencore International plc,JE00B4T3BW64,0.69%,2012-12-14
Och-Ziff Management Europe Ltd.,Glencore International plc,JE00B4T3BW64,0.59%,2012-12-27
Och-Ziff Management Europe Ltd.,Glencore International plc,JE00B4T3BW64,0.46%,2013-01-03
Pentwater Capital Management LP,Glencore International PLC,JE00B4T3BW64,0.59%,2012-11-01
Pentwater Capital Management LP,Glencore International PLC,JE00B4T3BW64,0.60%,2012-11-07
Pentwater Capital Management LP,Glencore International PLC,JE00B4T3BW64,0.54%,2012-11-20
Pentwater Capital Management LP,Glencore International PLC,JE00B4T3BW64,0.44%,2012-11-27
FIL Fund Management Limited ,GREAT PORTLAND ESTATES PLC,GB00B01FLL16,0.68%,2012-11-01
FIL Fund Management Limited ,Great Portland Estates plc,GB00B01FLL16,0.55%,2012-11-07
FIL Fund Management Limited ,GREAT PORTLAND ESTATES PLC,GB00B01FLL16,0.47%,2012-11-19
Artemis Investment Management LLP,Greggs PLC,GB00B63QSB39,0.50%,2012-12-21
BlackRock Investment Management (UK) Limited,Greggs plc,GB00B63QSB39,1.74%,2012-11-01
Henderson Alternative Investment Limited,Greggs plc,GB00B63QSB39,0.84%,2012-11-08
Henderson Alternative Investment Limited,Greggs Plc,GB00B63QSB39,0.64%,2013-01-03
Henderson Alternative Investment Limited,Greggs Plc,GB00B63QSB39,0.72%,2013-01-10
Henderson Global Investors,Greggs Plc,GB00B63QSB39,0.98%,2012-11-01
Henderson Global Investors,Greggs Plc,GB00B63QSB39,0.84%,2012-11-20
Henderson Global Investors,Greggs Plc,GB00B63QSB39,0.92%,2012-12-24
"BlackRock Institutional Trust Company, National Association",Halma plc,GB0004052071,0.77%,2012-11-01
"BlackRock Institutional Trust Company, National Association",Halma plc,GB0004052071,0.68%,2013-01-24
BlackRock Investment Management (UK) Limited,Halma plc,GB0004052071,0.74%,2012-11-01
BlackRock Investment Management (UK) Limited,Halma plc,GB0004052071,0.66%,2013-01-22
BlackRock Investment Management (UK) Limited,Halma plc,GB0004052071,0.44%,2013-02-07
"MSD Capital (Europe), LLP",Hargreaves Lansdown PLC,GB00B1VZ0M25,0.87%,2012-11-01
"MSD Capital (Europe), LLP",Hargreaves Lansdown PLC,GB00B1VZ0M25,0.92%,2012-11-27
"MSD Capital (Europe), LLP",Hargreaves Lansdown PLC,GB00B1VZ0M25,1.00%,2013-01-02
"MSD Capital (Europe), LLP",Hargreaves Lansdown PLC,GB00B1VZ0M25,1.11%,2013-01-24
"MSD Capital (Europe), LLP",Hargreaves Lansdown PLC,GB00B1VZ0M25,1.26%,2013-02-06
"BlackRock Institutional Trust Company, National Association",Hays plc,GB0004161021,0.71%,2012-11-01
"BlackRock Institutional Trust Company, National Association",Hays plc,GB0004161021,0.60%,2012-11-09
"BlackRock Institutional Trust Company, National Association",HAYS PLC,GB0004161021,0.58%,2012-11-14
"BlackRock Institutional Trust Company, National Association",HAYS PLC,GB0004161021,0.47%,2012-11-20
BlackRock Investment Management (UK) Limited,Hays plc,GB0004161021,0.51%,2012-11-01
BlackRock Investment Management (UK) Limited,HAYS PLC,GB0004161021,0.64%,2012-11-22
BlackRock Investment Management (UK) Limited,Hays plc,GB0004161021,0.58%,2012-11-30
BlackRock Investment Management (UK) Limited,HAYS PLC,GB0004161021,0.60%,2012-12-14
Fresco S.R.L.,Hibu Plc,GB0031718066,12.17%,2012-11-01
Fresco S.R.L.,Hibu Plc,GB0031718066,7.62%,2012-12-10
Fresco S.R.L.,Hibu Plc,GB0031718066,7.40%,2012-12-11
Fresco S.R.L.,Hibu Plc,GB0031718066,7.23%,2012-12-12
Fresco S.R.L.,Hibu Plc,GB0031718066,7.12%,2012-12-13
Fresco S.R.L.,Hibu Plc,GB0031718066,2.99%,2012-12-14
Fresco S.R.L.,Hibu Plc,GB0031718066,0.35%,2012-12-17
BlackRock Investment Management (UK) Limited,Hikma Pharmaceuticals PLC,GB00B0LCW083,1.21%,2012-11-01
BlackRock Investment Management (UK) Limited,Hikma Pharmaceuticals PLC,GB00B0LCW083,1.30%,2013-02-05
BlackRock Investment Management (UK) Limited,Hikma Pharmaceuticals PLC,GB00B0LCW083,1.25%,2013-02-07
"Coatue Management, L.L.C.",HMV Group Plc,GB0031575722,1.15%,2012-11-01
Fresco S.R.L.,HMV Group Plc,GB0031575722,5.86%,2012-11-01
"FVP Master Fund, L.P.",HMV Group PLC,GB0031575722,1.43%,2012-11-01
"FVP Master Fund, L.P.",HMV Group PLC,GB0031575722,1.07%,2013-01-14
BNP PARIBAS SA,Hochschild Mining PLC,GB00B1FW5029,0.50%,2012-11-01
BNP PARIBAS SA,Hochschild Mining PLC,GB00B1FW5029,0.49%,2012-11-05
Ferox Capital LLP,Hochschild Mining Plc,GB00B1FW5029,0.58%,2012-11-01
Ferox Capital LLP,Hochschild Mining Plc,GB00B1FW5029,0.49%,2012-12-06
Ferox Capital LLP,Hochschild Mining Plc,GB00B1FW5029,0.50%,2012-12-10
Ferox Capital LLP,Hochschild Mining Plc,GB00B1FW5029,0.49%,2013-01-17
Barrington Wilshire LLC,Home Retail Group plc,GB00B19NKB76,1.41%,2012-11-01
Barrington Wilshire LLC,Home Retail Group plc,GB00B19NKB76,1.23%,2012-12-07
Barrington Wilshire LLC,Home Retail Group plc,GB00B19NKB76,1.06%,2012-12-11
Barrington Wilshire LLC,Home Retail Group plc,GB00B19NKB76,0.98%,2012-12-12
Barrington Wilshire LLC,Home Retail Group plc,GB00B19NKB76,0.89%,2012-12-17
Barrington Wilshire LLC,Home Retail Group plc,GB00B19NKB76,0.80%,2012-12-21
Barrington Wilshire LLC,Home Retail Group plc,GB00B19NKB76,0.65%,2013-01-10
Barrington Wilshire LLC,Home Retail Group plc,GB00B19NKB76,0.60%,2013-01-14
Barrington Wilshire LLC,Home Retail Group plc,GB00B19NKB76,0.49%,2013-01-18
BlackRock Investment Management (UK) Limited,Home Retail Group plc,GB00B19NKB76,1.43%,2012-11-01
BlackRock Investment Management (UK) Limited,HOME RETAIL GROUP PLC,GB00B19NKB76,1.50%,2012-12-06
BlackRock Investment Management (UK) Limited,HOME RETAIL GROUP PLC,GB00B19NKB76,1.47%,2012-12-28
BlackRock Investment Management (UK) Limited,Home Retail Group plc,GB00B19NKB76,1.26%,2013-01-17
BlackRock Investment Management (UK) Limited,Home Retail Group plc,GB00B19NKB76,1.14%,2013-01-18
BlackRock Investment Management (UK) Limited,Home Retail Group plc,GB00B19NKB76,1.07%,2013-01-21
BlackRock Investment Management (UK) Limited,Home Retail Group plc,GB00B19NKB76,0.97%,2013-01-28
Blau GmBH,Home Retail Group plc,GB00B19NKB76,1.96%,2012-11-28
Blau GmBH,Home Retail Group plc,GB00B19NKB76,2.00%,2013-01-08
Blau GmBH,Home Retail Group plc,GB00B19NKB76,2.12%,2013-01-14
Blau GmBH,Home Retail Group plc,GB00B19NKB76,2.28%,2013-01-17
CONATUS CAPITAL MANAGEMENT LP,Home Retail Group plc,GB00B19NKB76,1.10%,2012-11-01
Lone Pine Capital LLC,Home Retail Group Plc,GB00B19NKB76,1.05%,2012-11-01
Lone Pine Capital LLC,Home Retail Group Plc,GB00B19NKB76,1.37%,2013-01-03
Lone Pine Capital LLC,Home Retail Group Plc,GB00B19NKB76,1.41%,2013-01-04
"Marble Arch Investments, LP",Home Retail Group plc,GB00B19NKB76,1.79%,2012-11-01
"Marble Arch Investments, LP",Home Retail Group plc,GB00B19NKB76,1.68%,2012-11-07
"Marble Arch Investments, LP",Home Retail Group plc,GB00B19NKB76,1.56%,2013-01-24
"Marble Arch Investments, LP",Home Retail Group plc,GB00B19NKB76,1.47%,2013-01-28
"Marble Arch Investments, LP",Home Retail Group plc,GB00B19NKB76,1.38%,2013-02-01
"Maverick Capital, Ltd.",Home Retail Group plc,GB00B19NKB76,4.45%,2012-11-01
"Maverick Capital, Ltd.",Home Retail Group plc,GB00B19NKB76,3.30%,2013-01-15
"Morton Holdings, Inc.",Home Retail Group plc,GB00B19NKB76,1.15%,2013-01-15
Newbrook Capital Advisors LP,Home Retail Group PLC,GB00B19NKB76,1.13%,2012-11-01
Newbrook Capital Advisors LP,Home Retail Group plc,GB00B19NKB76,1.30%,2012-11-15
Newbrook Capital Advisors LP,Home Retail Group Plc,GB00B19NKB76,1.44%,2012-11-16
Newbrook Capital Advisors LP,Home Retail Group plc,GB00B19NKB76,1.51%,2012-11-23
Newbrook Capital Advisors LP,Home Retail Group plc,GB00B19NKB76,1.64%,2012-12-06
ODEY ASSET MANAGEMENT LLP,HOME RETAIL GROUP PLC,GB00B19NKB76,0.62%,2012-11-01
ODEY ASSET MANAGEMENT LLP,HOME RETAIL GROUP PLC,GB00B19NKB76,0.34%,2012-12-05
ODEY ASSET MANAGEMENT LLP,HOME RETAIL GROUP PLC,GB00B19NKB76,0.51%,2012-12-12
ODEY ASSET MANAGEMENT LLP,HOME RETAIL GROUP PLC,GB00B19NKB76,0.05%,2013-01-17
Cazenove Capital Management Limited,HOMESERVE PLC,GB00B587FC42,0.53%,2012-12-19
Cazenove Capital Management Limited,HOMESERVE PLC,GB00B587FC42,0.63%,2012-12-20
Cazenove Capital Management Limited,HOMESERVE PLC,GB00B587FC42,0.81%,2012-12-21
"Morton Holdings, Inc.",Homeserve Plc,GB00B587FC42,2.02%,2012-11-01
"BlackRock Institutional Trust Company, National Association",Howden Joinery Group Plc,GB0005576813,0.50%,2013-01-22
"BlackRock Institutional Trust Company, National Association",HOWDEN JOINERY GROUP PLC,GB0005576813,0.49%,2013-01-30
"BlackRock Institutional Trust Company, National Association",HOWDEN JOINERY GROUP PLC,GB0005576813,0.51%,2013-01-31
"BlackRock Institutional Trust Company, National Association",Howden Joinery Group Plc,GB0005576813,0.49%,2013-02-05
Saemor Capital B.V.,Hunting Plc,GB0004478896,0.52%,2012-12-28
"AQR Capital Management, LLC",ICAP PLC,GB0033872168,0.50%,2012-11-01
"AQR Capital Management, LLC",ICAP PLC,GB0033872168,0.39%,2012-11-19
"AQR Capital Management, LLC",ICAP PLC,GB0033872168,0.51%,2012-12-28
"AQR Capital Management, LLC",ICAP PLC,GB0033872168,0.61%,2013-01-16
"AQR Capital Management, LLC",ICAP PLC,GB0033872168,0.71%,2013-02-12
Artemis Investment Management LLP,ICAP PLC,GB0033872168,0.53%,2012-10-31
Artemis Investment Management LLP,ICAP PLC,GB0033872168,0.70%,2012-11-14
Artemis Investment Management LLP,ICAP PLC,GB0033872168,0.69%,2012-12-04
Artemis Investment Management LLP,ICAP PLC,GB0033872168,0.70%,2012-12-19
