COUNTRY,POSITION HOLDER,NAME OF THE ISSUER,ISIN,NET SHORT POSITION,"DATE POSITION WAS CREATED, CHANGED OR CANCELLED"
UNITED KINGDOM,Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.59%,2012-11-09
UNITED KINGDOM,Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.48%,2012-11-23
UNITED KINGDOM,Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.50%,2012-11-27
UNITED KINGDOM,Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.49%,2012-11-29
UNITED KINGDOM,Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.39%,2012-12-06
UNITED KINGDOM,Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.29%,2012-12-27
UNITED KINGDOM,Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.19%,2013-01-23
UNITED KINGDOM,Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.20%,2013-02-06
UNITED KINGDOM,Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.30%,2013-02-21
UNITED KINGDOM,Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.25%,2013-02-22
UNITED KINGDOM,Sunrise Partners Limited Partnership,Chariot Oil & Gas Ltd,GG00B2R9PM06,0.55%,2012-11-06
UNITED KINGDOM,Sunrise Partners Limited Partnership,Chariot Oil & Gas Ltd,GG00B2R9PM06,0.73%,2012-11-07
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Costain Group PLC,GB00B64NSP76,2.18%,2012-11-01
UNITED KINGDOM,Henderson Alternative Investment Limited,Cranswick plc,GB0002318888,0.52%,2012-11-16
UNITED KINGDOM,Henderson Alternative Investment Limited,Cranswick plc,GB0002318888,0.48%,2012-11-19
UNITED KINGDOM,FIL Investment Services (UK) Limited ,CRODA INTERNATIONAL PLC,GB0002335270,1.10%,2012-11-01
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,1.16%,2012-11-01
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR PLC,GB0034147388,1.09%,2012-11-22
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,1.27%,2012-12-04
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR PLC,GB0034147388,0.87%,2012-12-12
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR PLC,GB0034147388,0.79%,2013-01-03
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,0.92%,2013-01-08
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,1.00%,2013-01-15
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,0.98%,2013-01-22
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,0.86%,2013-01-25
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,0.79%,2013-01-29
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,0.68%,2013-02-07
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",CSR PLC,GB0034147388,0.57%,2013-02-12
UNITED KINGDOM,"Joho Capital, LLC",CSR Plc,GB0034147388,4.03%,2012-11-01
UNITED KINGDOM,Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,0.66%,2012-11-22
UNITED KINGDOM,Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,0.74%,2012-11-23
UNITED KINGDOM,Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,0.90%,2012-11-30
UNITED KINGDOM,Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,1.15%,2012-12-04
UNITED KINGDOM,Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,1.24%,2012-12-06
UNITED KINGDOM,Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,0.97%,2013-02-11
UNITED KINGDOM,Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,0.66%,2013-02-12
UNITED KINGDOM,FIL Investment Services (UK) Limited ,CUPID PLC,GB00B4NJ4984,0.50%,2013-02-07
UNITED KINGDOM,FIL Investment Services (UK) Limited ,CUPID PLC,GB00B4NJ4984,0.64%,2013-02-08
UNITED KINGDOM,FIL Investment Services (UK) Limited ,CUPID PLC,GB00B4NJ4984,0.72%,2013-02-14
UNITED KINGDOM,Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,1.17%,2012-11-01
UNITED KINGDOM,Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,1.33%,2013-01-30
UNITED KINGDOM,Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,1.42%,2013-02-01
UNITED KINGDOM,Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,1.54%,2013-02-06
UNITED KINGDOM,Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,1.67%,2013-02-07
UNITED KINGDOM,Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,2.21%,2013-02-08
UNITED KINGDOM,Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,2.39%,2013-02-11
UNITED KINGDOM,Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,2.52%,2013-02-13
UNITED KINGDOM,Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,2.84%,2013-02-14
UNITED KINGDOM,Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,3.14%,2013-02-15
UNITED KINGDOM,Ignis Investment Services Ltd,CVS Group,GB00B2863827,0.75%,2012-11-01
UNITED KINGDOM,Ignis Investment Services Ltd,CVS Group,GB00B2863827,0.69%,2013-01-04
UNITED KINGDOM,Ignis Investment Services Ltd,CVS Group,GB00B2863827,0.41%,2013-02-06
UNITED KINGDOM,"Greenlight Capital, Inc.",Daily Mail & General Trust PLC,GB0009457366,4.37%,2012-11-01
UNITED KINGDOM,"Greenlight Capital, Inc.",Daily Mail & General Trust PLC,GB0009457366,4.43%,2012-11-02
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.75%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.69%,2012-12-03
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,DAIRY CREST GROUP PLC,GB0002502812,1.78%,2012-12-12
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.69%,2013-01-07
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,DAIRY CREST GROUP PLC,GB0002502812,1.70%,2013-01-10
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.69%,2013-01-11
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.71%,2013-01-25
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.69%,2013-01-31
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,DAIRY CREST GROUP PLC,GB0002502812,1.59%,2013-02-15
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,DAIRY CREST GROUP PLC,GB0002502812,1.61%,2013-02-19
UNITED KINGDOM,Polar Capital LLP,Dairy Crest Group PLC,GB0002502812,0.56%,2013-01-23
UNITED KINGDOM,Polar Capital LLP,Dairy Crest Group PLC,GB0002502812,0.66%,2013-01-24
UNITED KINGDOM,Polar Capital LLP,Dairy Crest Group PLC,GB0002502812,0.73%,2013-01-25
UNITED KINGDOM,UBS AG,Dairy Crest Group Plc,GB0002502812,0.52%,2013-02-08
UNITED KINGDOM,UBS AG,Dairy Crest Group Plc,GB0002502812,0.49%,2013-02-12
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Daisy Group plc,GB00B61G9L20,1.14%,2012-11-01
UNITED KINGDOM,Polar Capital LLP,Daisy Group PLC,GB00B61G9L20,0.75%,2012-11-01
UNITED KINGDOM,Polar Capital LLP,Daisy Group PLC,GB00B61G9L20,0.00%,2013-01-04
UNITED KINGDOM,Barrington Wilshire LLC,Darty PLC,GB0033040113,1.79%,2012-01-23
UNITED KINGDOM,Barrington Wilshire LLC,Darty PLC,GB0033040113,1.92%,2012-11-01
UNITED KINGDOM,Barrington Wilshire LLC,Darty PLC,GB0033040113,1.64%,2013-01-25
UNITED KINGDOM,Barrington Wilshire LLC,Darty PLC,GB0033040113,1.60%,2013-01-29
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Darty plc,GB0033040113,1.86%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Darty plc,GB0033040113,1.90%,2012-11-08
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.85%,2012-11-21
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.79%,2012-11-26
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.63%,2012-11-29
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Darty plc,GB0033040113,1.51%,2012-11-30
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Darty plc,GB0033040113,1.47%,2012-12-03
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.39%,2012-12-05
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.28%,2012-12-14
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,DARTY PLC,GB0033040113,1.19%,2013-01-29
UNITED KINGDOM,Henderson Alternative Investment Limited,Devro Plc,GB0002670437,0.51%,2012-12-20
UNITED KINGDOM,Henderson Alternative Investment Limited,Devro Plc,GB0002670437,0.62%,2013-01-23
UNITED KINGDOM,Henderson Alternative Investment Limited,Devro Plc,GB0002670437,0.30%,2013-01-30
UNITED KINGDOM,DNB Asset Management AS,Dialight PLC,GB0033057794,0.92%,2012-11-01
UNITED KINGDOM,DNB Asset Management AS,Dialight PLC,GB0033057794,0.88%,2012-12-07
UNITED KINGDOM,DNB Asset Management AS,Dialight PLC,GB0033057794,0.79%,2012-12-11
UNITED KINGDOM,Henderson Alternative Investment Limited,Dialight plc,GB0033057794,0.31%,2012-11-08
UNITED KINGDOM,Henderson Global Investors,Dialight plc,GB0033057794,0.54%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Dignity plc,GB00B4JZFN18,1.00%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Dignity plc,GB00B4JZFN18,0.70%,2013-01-22
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Dignity plc,GB00B4JZFN18,0.58%,2013-01-25
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,DIGNITY PLC,GB00B4JZFN18,1.44%,2012-11-01
UNITED KINGDOM,Fest N.V.,Dixons Retail Plc,GB0000472455,3.11%,2012-11-01
UNITED KINGDOM,Fest N.V.,Dixons Retail Plc,GB0000472455,3.27%,2013-01-10
UNITED KINGDOM,Fest N.V.,Dixons Retail Plc,GB0000472455,3.36%,2013-01-11
UNITED KINGDOM,Fest N.V.,Dixons Retail Plc,GB0000472455,3.42%,2013-01-14
UNITED KINGDOM,Lone Pine Capital LLC,DIXONS RETAIL PLC,GB0000472455,0.54%,2013-01-22
UNITED KINGDOM,Lone Pine Capital LLC,DIXONS RETAIL PLC,GB0000472455,0.69%,2013-01-24
UNITED KINGDOM,Lone Pine Capital LLC,DIXONS RETAIL PLC,GB0000472455,0.75%,2013-01-25
UNITED KINGDOM,"Marble Arch Investments, LP",Dixons Retail plc,GB0000472455,2.05%,2012-11-01
UNITED KINGDOM,"Marble Arch Investments, LP",Dixons Retail plc,GB0000472455,1.95%,2012-11-07
UNITED KINGDOM,"Marble Arch Investments, LP",Dixons Retail plc,GB0000472455,1.86%,2012-11-08
UNITED KINGDOM,"Marble Arch Investments, LP",Dixons Retail plc,GB0000472455,1.79%,2012-11-09
UNITED KINGDOM,"Marble Arch Investments, LP",Dixons Retail plc,GB0000472455,1.67%,2012-11-14
UNITED KINGDOM,Saemor Capital B.V.,DIXONS RETAIL PLC,GB0000472455,0.60%,2012-11-01
UNITED KINGDOM,Saemor Capital B.V.,Dixons Retail plc,GB0000472455,0.43%,2012-11-02
UNITED KINGDOM,"Sheffield Asset Management, L.L.C.",Dixons Retail plc,GB0000472455,0.87%,2012-11-01
UNITED KINGDOM,"Sheffield Asset Management, L.L.C.",Dixons Retail plc,GB0000472455,0.71%,2012-11-06
UNITED KINGDOM,"Sheffield Asset Management, L.L.C.",Dixons Retail plc,GB0000472455,0.56%,2012-11-07
UNITED KINGDOM,"Sheffield Asset Management, L.L.C.",DIXONS RETAIL PLC,GB0000472455,0.49%,2012-11-13
UNITED KINGDOM,Southpoint Capital Advisors,DIXONS RETAIL PLC,GB0000472455,0.69%,2012-11-01
UNITED KINGDOM,Southpoint Capital Advisors,DIXONS RETAIL PLC,GB0000472455,0.83%,2012-12-05
UNITED KINGDOM,Southpoint Capital Advisors,DIXONS RETAIL PLC,GB0000472455,0.90%,2012-12-06
UNITED KINGDOM,Southpoint Capital Advisors,DIXONS RETAIL PLC,GB0000472455,1.07%,2012-12-27
UNITED KINGDOM,Southpoint Capital Advisors,DIXONS RETAIL PLC,GB0000472455,1.11%,2012-12-28
UNITED KINGDOM,"FVP Master Fund, L.P.",Dixons Retail PLC ,GB0000472455,0.63%,2012-11-01
UNITED KINGDOM,"FVP Master Fund, L.P.",Dixons Retail PLC ,GB0000472455,0.35%,2012-12-20
UNITED KINGDOM,Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.55%,2012-11-15
UNITED KINGDOM,Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.48%,2012-11-21
UNITED KINGDOM,Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.52%,2012-12-07
UNITED KINGDOM,Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.49%,2012-12-12
UNITED KINGDOM,Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.53%,2012-12-17
UNITED KINGDOM,Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.49%,2012-12-18
UNITED KINGDOM,Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.51%,2012-12-20
UNITED KINGDOM,Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.62%,2013-02-01
UNITED KINGDOM,Henderson Alternative Investment Limited,Domino Printing Sciences plc,GB0002748050,0.71%,2013-02-18
UNITED KINGDOM,Henderson Global Investors,Domino Printing Sciences plc,GB0002748050 ,0.51%,2012-11-01
UNITED KINGDOM,Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.86%,2012-11-13
UNITED KINGDOM,Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.92%,2012-12-04
UNITED KINGDOM,Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.83%,2012-12-07
UNITED KINGDOM,Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.75%,2012-12-10
UNITED KINGDOM,Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.67%,2012-12-20
UNITED KINGDOM,Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.75%,2013-01-03
UNITED KINGDOM,Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.66%,2013-01-07
UNITED KINGDOM,Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.74%,2013-01-16
UNITED KINGDOM,Henderson Alternative Investment Limited,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.26%,2013-02-06
UNITED KINGDOM,Henderson Alternative Investment Limted,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.53%,2013-02-21
UNITED KINGDOM,Henderson Alternative Investment Limted,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.80%,2013-02-22
UNITED KINGDOM,Henderson Global Investors,DOMINOS PIZZA GROUP PLC,GB00B1S49Q91,0.67%,2012-11-01
UNITED KINGDOM,Concordia Value Strategies Ltd,Edinburgh Investment Trust Plc,GB0003052338,0.52%,2012-11-13
UNITED KINGDOM,Concordia Value Strategies Ltd,Edinburgh Investment Trust Plc,GB0003052338,0.49%,2013-02-07
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",Electrocomponents plc,GB0003096442,0.56%,2012-11-01
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",Electrocomponents plc,GB0003096442,0.65%,2012-11-05
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",Electrocomponents plc,GB0003096442,0.72%,2012-11-07
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",ELECTROCOMPONENTS PLC,GB0003096442,0.69%,2012-11-22
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",ELECTROCOMPONENTS PLC,GB0003096442,0.72%,2012-12-10
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",ELECTROCOMPONENTS PLC,GB0003096442,0.69%,2012-12-19
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",Electrocomponents plc,GB0003096442,0.57%,2013-01-22
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",ELECTROCOMPONENTS PLC,GB0003096442,0.49%,2013-01-29
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",ELECTROCOMPONENTS PLC,GB0003096442,0.50%,2013-02-08
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",ELECTROCOMPONENTS PLC,GB0003096442,0.49%,2013-02-21
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Electrocomponents plc,GB0003096442,0.66%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,ELECTROCOMPONENTS PLC,GB0003096442,0.80%,2012-11-22
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,ELECTROCOMPONENTS PLC,GB0003096442,0.78%,2012-11-23
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,ELECTROCOMPONENTS PLC,GB0003096442,0.67%,2012-12-06
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Electrocomponents plc,GB0003096442,0.54%,2013-01-25
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Electrocomponents plc,GB0003096442,0.48%,2013-01-28
UNITED KINGDOM,Insight Investment Management (Global) Ltd,Electrocomponents PLC,GB0003096442,0.94%,2012-11-01
UNITED KINGDOM,Insight Investment Management (Global) Ltd,Electrocomponents PLC,GB0003096442,1.06%,2012-12-07
UNITED KINGDOM,Insight Investment Management (Global) Ltd,Electrocomponents PLC,GB0003096442,1.10%,2012-12-14
UNITED KINGDOM,Insight Investment Management (Global) Ltd,Electrocomponents PLC,GB0003096442,1.09%,2013-01-25
UNITED KINGDOM,Insight Investment Management (Global) Ltd,Electrocomponents PLC,GB0003096442,0.99%,2013-01-29
UNITED KINGDOM,S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,1.11%,2012-11-01
UNITED KINGDOM,S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,1.21%,2012-11-06
UNITED KINGDOM,S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,1.14%,2012-11-08
UNITED KINGDOM,S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,1.09%,2012-12-04
UNITED KINGDOM,S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,0.93%,2012-12-05
UNITED KINGDOM,S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,0.79%,2013-01-31
UNITED KINGDOM,S.A.C. Global Investors LLP,Electrocomponents PLC,GB0003096442,0.81%,2013-02-01
UNITED KINGDOM,GLG Partners LP,Enquest Plc,GB00B635TG28,1.04%,2012-11-01
UNITED KINGDOM,GLG Partners LP,Enquest Plc,GB00B635TG28,0.99%,2013-01-25
UNITED KINGDOM,GLG Partners LP,Enquest Plc,GB00B635TG28,0.87%,2013-02-07
UNITED KINGDOM,GLG Partners LP,Enquest Plc,GB00B635TG28,0.60%,2013-02-19
UNITED KINGDOM,GLG Partners LP,Enquest Plc,GB00B635TG28,0.59%,2013-02-20
UNITED KINGDOM,Oslo Asset Management ASA,Enquest plc,GB00B635TG28,1.59%,2012-11-02
UNITED KINGDOM,Numeric Investors LLC,Falkland Oil & Gas,FK00B030JM18,0.50%,2013-01-02
UNITED KINGDOM,"Brookdale International Partners, L.P. and Brookdale Global Opportunity Fund",Fastnet Oil & Gas Plc,GB00B85HRF56,0.77%,2012-11-23
UNITED KINGDOM,"Brookdale International Partners, L.P. and Brookdale Global Opportunity Fund",Fastnet Oil & Gas Plc,GB00B85HRF56,0.94%,2012-11-28
UNITED KINGDOM,"Brookdale International Partners, L.P. and Brookdale Global Opportunity Fund",Fastnet Oil & Gas Plc,GB00B85HRF56,0.00%,2012-12-12
UNITED KINGDOM,FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,0.87%,2012-11-01
UNITED KINGDOM,FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,0.92%,2012-11-15
UNITED KINGDOM,FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.03%,2012-12-27
UNITED KINGDOM,FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.12%,2013-01-15
UNITED KINGDOM,FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.29%,2013-01-24
UNITED KINGDOM,FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.39%,2013-01-25
UNITED KINGDOM,FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.40%,2013-01-28
UNITED KINGDOM,FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.50%,2013-02-01
UNITED KINGDOM,FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.77%,2013-02-08
UNITED KINGDOM,FIL Investment Services (UK) Limited ,Fenner Plc,GB0003345054,1.81%,2013-02-11
UNITED KINGDOM,Henderson Global Investors,Fenner plc,GB0003345054,0.51%,2013-01-03
UNITED KINGDOM,Henderson Global Investors,Fenner plc,GB0003345054,0.61%,2013-01-23
UNITED KINGDOM,Henderson Global Investors,Fenner plc,GB0003345054,0.51%,2013-01-30
UNITED KINGDOM,Henderson Global Investors,Fenner plc,GB0003345054,0.48%,2013-01-30
UNITED KINGDOM,Marshall Wace LLP,Fenner PLC,GB0003345054,0.71%,2012-11-01
UNITED KINGDOM,Marshall Wace LLP,Fenner PLC,GB0003345054,0.69%,2012-11-06
UNITED KINGDOM,Marshall Wace LLP,Fenner PLC,GB0003345054,0.70%,2012-11-08
UNITED KINGDOM,UBS O'Connor Limited,Fenner plc,GB0003345054,1.22%,2012-11-01
UNITED KINGDOM,UBS O'Connor Limited,Fenner plc,GB0003345054,1.13%,2012-11-06
UNITED KINGDOM,UBS O'Connor Limited,FENNER PLC,GB0003345054,1.23%,2012-11-07
UNITED KINGDOM,UBS O'Connor Limited,FENNER PLC,GB0003345054,1.12%,2012-11-13
UNITED KINGDOM,UBS O'Connor Limited,FENNER PLC,GB0003345054,0.98%,2012-11-14
UNITED KINGDOM,UBS O'Connor Limited,FENNER PLC,GB0003345054,0.71%,2012-12-05
UNITED KINGDOM,UBS O'Connor Limited,FENNER PLC,GB0003345054,0.55%,2013-01-02
UNITED KINGDOM,UBS O'Connor Limited,FENNER PLC,GB0003345054,0.72%,2013-01-04
UNITED KINGDOM,UBS O'Connor Limited,FENNER PLC,GB0003345054,0.68%,2013-01-14
UNITED KINGDOM,UBS O'Connor Limited,FENNER PLC,GB0003345054,0.55%,2013-01-22
UNITED KINGDOM,UBS O'Connor Limited,Fenner plc,GB0003345054,0.48%,2013-01-29
UNITED KINGDOM,UBS O'Connor Limited,FENNER PLC,GB0003345054,0.80%, 2012-11-15
UNITED KINGDOM,UBS O'Connor Limited,FENNER PLC,GB0003345054,0.67%, 2012-11-16
UNITED KINGDOM,"Wellington Management Company, LLP",Fenner PLC,GB0003345054,0.58%,2012-11-01
UNITED KINGDOM,"Wellington Management Company, LLP",Fenner PLC,GB0003345054,0.58%,2012-11-01
UNITED KINGDOM,"Wellington Management Company, LLP",Fenner PLC,GB0003345054,0.44%,2013-01-03
UNITED KINGDOM,"Wellington Management Company, LLP",Fenner PLC,GB0003345054,0.50%,2013-01-09
UNITED KINGDOM,Henderson Alternative Investment Limited,Fiberweb plc,GB00B1FMH067 ,1.00%,2012-11-09
UNITED KINGDOM,Henderson Alternative Investment Limited,Fiberweb plc,GB00B1FMH067,1.10%,2012-11-22
UNITED KINGDOM,Henderson Alternative Investment Limited,Fiberweb plc,GB00B1FMH067,0.95%,2013-01-23
UNITED KINGDOM,Henderson Alternative Investment Limited,Fiberweb plc,GB00B1FMH067,0.85%,2013-02-07
UNITED KINGDOM,Henderson Alternative Investment Limited,Fiberweb plc,GB00B1FMH067,0.05%,2013-02-15
UNITED KINGDOM,Henderson Global Investors,Fiberweb plc,GB00B1FMH067 ,1.65%,2012-11-01
UNITED KINGDOM,Henderson Alternative Investment Limited,Fidessa Group plc,GB0007590234,0.52%,2013-02-13
UNITED KINGDOM,Henderson Alternative Investment Limted,Fidessa Group plc,GB0007590234,0.46%,2013-02-21
UNITED KINGDOM,JPMorgan Asset Management (UK) Ltd,FIDESSA GROUP PLC,GB0007590234,0.60%,2012-11-01
UNITED KINGDOM,JPMorgan Asset Management (UK) Ltd,FIDESSA GROUP PLC,GB0007590234,0.58%,2012-11-29
UNITED KINGDOM,JPMorgan Asset Management (UK) Ltd,FIDESSA GROUP PLC,GB0007590234,0.31%,2013-02-14
UNITED KINGDOM,"Philadelphia Financial Management of San Francisco,  LLC ",Fidessa Group PLC ,GB0007590234,0.53%,2013-02-20
UNITED KINGDOM,"Philadelphia Financial Management of San Francisco,  LLC ",Fidessa Group PLC ,GB0007590234,0.55%,2013-02-21
UNITED KINGDOM,"Philadelphia Financial Management of San Francisco,  LLC ",Fidessa Group PLC ,GB0007590234,0.58%,2013-02-22
UNITED KINGDOM,ELLIOTT MANAGEMENT CORPORATION,FIRSTGROUP PLC,GB0003452173,1.65%,2012-11-01
UNITED KINGDOM,Elliott Management Corporation,FIRSTGROUP PLC,GB0003452173,1.75%,2012-12-24
UNITED KINGDOM,Elliott Management Corporation,Firstgroup PLC,GB0003452173,1.83%,2012-12-27
UNITED KINGDOM,Elliott Management Corporation,Firstgroup PLC,GB0003452173,1.91%,2012-12-31
UNITED KINGDOM,Elliott Management Corporation,Firstgroup PLC,GB0003452173,2.10%,2013-01-03
UNITED KINGDOM,Elliott Management Corporation,Firstgroup PLC,GB0003452173,2.20%,2013-01-04
UNITED KINGDOM,Elliott Management Corporation,Firstgroup PLC,GB0003452173,2.32%,2013-01-08
UNITED KINGDOM,JPMorgan Asset Management (UK) Ltd,FIRSTGROUP PLC,GB0003452173,0.55%,2012-11-01
UNITED KINGDOM,JPMorgan Asset Management (UK) Ltd,FIRSTGROUP PLC,GB0003452173,0.59%,2012-11-14
UNITED KINGDOM,JPMorgan Asset Management (UK) Ltd,FIRSTGROUP PLC,GB0003452173,0.40%,2013-01-24
UNITED KINGDOM,"YA Global Master SPV, Ltd",Frontera Resources Corporation,KYG368131069,0.59%,2012-11-05
